,,precision,recall,f1-score,support
0,smiling_encouraging,0.07854984894259819,0.08666666666666667,0.08240887480190173,600
1,smiling_endearment,0.0,0.0,0.0,680
2,smiling_flirting,0.0,0.0,0.0,1040
3,smiling_sad_nostalgia,0.13636363636363635,0.91875,0.23747980613893374,800
4,smiling_sardonic,0.0,0.0,0.0,520
5,smiling_triumphant,0.0,0.0,0.0,760
6,smiling_uncertain,0.656140350877193,0.20777777777777778,0.31561181434599156,900
7,smiling_winning,0.0,0.0,0.0,480
8,smiling_yeah_right,0.0,0.0,0.0,900
9,macro avg,0.09678375957593639,0.13479938271604938,0.07061116614298078,6680
10,weighted avg,0.11178849315059008,0.14580838323353293,0.07836523992570066,6680
