,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,360
1,smiling_endearment,0.037037037037037035,0.0025,0.00468384074941452,400
2,smiling_flirting,0.3333333333333333,0.0016666666666666668,0.0033167495854063023,600
3,smiling_sad_nostalgia,0.14884488448844885,0.9395833333333333,0.256980056980057,480
4,smiling_sardonic,0.0,0.0,0.0,320
5,smiling_triumphant,0.75,0.013636363636363636,0.026785714285714284,440
6,smiling_uncertain,0.30656934306569344,0.15555555555555556,0.20638820638820637,540
7,smiling_winning,0.0,0.0,0.0,280
8,smiling_yeah_right,0.0,0.0,0.0,540
9,macro avg,0.17508717754716807,0.12366021324354658,0.05535050755431094,3960
10,weighted avg,0.19742621328907697,0.13712121212121212,0.0632447876608037,3960
