,,precision,recall,f1-score,support
0,smiling_encouraging,0.019867549668874173,0.002830188679245283,0.00495458298926507,1060
1,smiling_endearment,0.0,0.0,0.0,1200
2,smiling_flirting,0.1111111111111111,0.0010869565217391304,0.0021528525296017225,1840
3,smiling_sad_nostalgia,0.14503976559229803,0.9625,0.252091669698072,1440
4,smiling_sardonic,0.0,0.0,0.0,940
5,smiling_triumphant,0.5344827586206896,0.023134328358208955,0.044349070100143065,1340
6,smiling_uncertain,0.5797619047619048,0.304375,0.3991803278688525,1600
7,smiling_winning,0.0,0.0,0.0,860
8,smiling_yeah_right,0.001610305958132045,0.000625,0.00090049527239982,1600
9,macro avg,0.15465259952366775,0.14383905261768817,0.07818099982870379,11880
10,weighted avg,0.17514846323654404,0.16077441077441076,0.09021735538287098,11880
