,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,180
1,smiling_endearment,0.0,0.0,0.0,200
2,smiling_flirting,0.7777777777777778,0.023333333333333334,0.045307443365695796,300
3,smiling_sad_nostalgia,0.14510050251256282,0.9625,0.2521834061135371,240
4,smiling_sardonic,0.0,0.0,0.0,160
5,smiling_triumphant,0.8571428571428571,0.02727272727272727,0.05286343612334802,220
6,smiling_uncertain,0.5034013605442177,0.5692307692307692,0.5342960288808665,260
7,smiling_winning,0.0,0.0,0.0,140
8,smiling_yeah_right,0.0,0.0,0.0,260
9,macro avg,0.2537136108863795,0.17581520331520328,0.09829447938704972,1960
10,weighted avg,0.2998026715557518,0.2,0.11462406833322422,1960
