,,precision,recall,f1-score,support
0,smiling_encouraging,0.1875,0.15,0.16666666666666663,260
1,smiling_endearment,0.22784810126582278,0.9,0.36363636363636365,260
2,smiling_flirting,0.23809523809523808,0.25,0.24390243902439024,260
3,smiling_sad_nostalgia,0.8235294117647058,0.7,0.7567567567567567,260
4,smiling_sardonic,0.0,0.0,0.0,260
5,smiling_triumphant,0.0,0.0,0.0,260
6,smiling_uncertain,0.0,0.0,0.0,260
7,smiling_winning,0.043478260869565216,0.05,0.046511627906976744,260
8,smiling_yeah_right,0.38461538461538464,0.25,0.30303030303030304,260
9,macro avg,0.2116740440678574,0.25555555555555554,0.20894490633571747,2340
10,weighted avg,0.21167404406785736,0.25555555555555554,0.20894490633571744,2340
