,,precision,recall,f1-score,support
0,smiling_encouraging,0.09174311926605505,0.014285714285714285,0.024721878862793572,700
1,smiling_endearment,0.0,0.0,0.0,780
2,smiling_flirting,0.0,0.0,0.0,1200
3,smiling_sad_nostalgia,0.16028815848716793,0.7574468085106383,0.2645856558900037,940
4,smiling_sardonic,0.0,0.0,0.0,620
5,smiling_triumphant,0.16991150442477876,0.10909090909090909,0.1328719723183391,880
6,smiling_uncertain,0.2626472626472626,0.35754716981132073,0.3028365960846984,1060
7,smiling_winning,0.0,0.0,0.0,560
8,smiling_yeah_right,0.0,0.0,0.0,1060
9,macro avg,0.0760655605361405,0.1375967335220647,0.08055734479509276,7800
10,weighted avg,0.08241272753385642,0.15346153846153845,0.09024999477313815,7800
