,,precision,recall,f1-score,support
0,smiling_encouraging,0.17391304347826086,0.2,0.18604651162790697,260
1,smiling_endearment,0.0,0.0,0.0,260
2,smiling_flirting,0.0,0.0,0.0,260
3,smiling_sad_nostalgia,0.9230769230769231,0.6,0.7272727272727274,260
4,smiling_sardonic,0.0,0.0,0.0,260
5,smiling_triumphant,0.5,0.05,0.09090909090909091,260
6,smiling_uncertain,0.16666666666666666,0.1,0.125,260
7,smiling_winning,0.1111111111111111,0.05,0.06896551724137932,260
8,smiling_yeah_right,0.42105263157894735,0.8,0.5517241379310345,260
9,macro avg,0.255091152879101,0.2,0.19443533166468213,2340
10,weighted avg,0.255091152879101,0.2,0.1944353316646821,2340
