,,precision,recall,f1-score,support
0,smiling_encouraging,0.3333333333333333,0.2,0.25,500
1,smiling_endearment,0.375,0.75,0.5,500
2,smiling_flirting,0.42857142857142855,0.15,0.2222222222222222,500
3,smiling_sad_nostalgia,1.0,0.3,0.4615384615384615,500
4,smiling_sardonic,0.09090909090909091,0.05,0.06451612903225806,500
5,smiling_triumphant,0.0,0.0,0.0,500
6,smiling_uncertain,0.1,0.05,0.06666666666666667,500
7,smiling_winning,0.15853658536585366,0.65,0.2549019607843137,500
8,smiling_yeah_right,0.16666666666666666,0.1,0.125,500
9,macro avg,0.29477967831626367,0.25,0.21609393780488023,4500
10,weighted avg,0.2947796783162636,0.25,0.21609393780488023,4500
