,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,500
1,smiling_endearment,0.1111111111111111,0.1,0.10526315789473685,500
2,smiling_flirting,0.11764705882352941,0.1,0.1081081081081081,500
3,smiling_sad_nostalgia,0.9444444444444444,0.85,0.8947368421052632,500
4,smiling_sardonic,0.0,0.0,0.0,500
5,smiling_triumphant,0.0,0.0,0.0,500
6,smiling_uncertain,0.85,0.85,0.85,500
7,smiling_winning,0.16666666666666666,0.35,0.22580645161290322,500
8,smiling_yeah_right,0.0,0.0,0.0,500
9,macro avg,0.24331880900508354,0.25,0.2426571733023346,4500
10,weighted avg,0.2433188090050835,0.25,0.24265717330233458,4500
