,,precision,recall,f1-score,support
0,smiling_encouraging,0.1724137931034483,0.25,0.20408163265306123,260
1,smiling_endearment,0.0,0.0,0.0,260
2,smiling_flirting,0.0,0.0,0.0,260
3,smiling_sad_nostalgia,0.2247191011235955,1.0,0.36697247706422015,260
4,smiling_sardonic,0.0,0.0,0.0,260
5,smiling_triumphant,0.0,0.0,0.0,260
6,smiling_uncertain,0.0,0.0,0.0,260
7,smiling_winning,0.3,0.15,0.2,260
8,smiling_yeah_right,0.06666666666666667,0.05,0.05714285714285715,260
9,macro avg,0.08486661787707894,0.1611111111111111,0.09202188520668206,2340
10,weighted avg,0.08486661787707894,0.16111111111111112,0.09202188520668206,2340
