,,precision,recall,f1-score,support
0,smiling_encouraging,0.031578947368421054,0.004166666666666667,0.007361963190184049,720
1,smiling_endearment,0.0,0.0,0.0,800
2,smiling_flirting,0.14285714285714285,0.001639344262295082,0.0032414910858995136,1220
3,smiling_sad_nostalgia,0.14203113417346183,0.9979166666666667,0.24866969500324465,960
4,smiling_sardonic,0.0,0.0,0.0,640
5,smiling_triumphant,0.6818181818181818,0.016666666666666666,0.03253796095444685,900
6,smiling_uncertain,0.4728950403690888,0.37962962962962965,0.421160760143811,1080
7,smiling_winning,0.0,0.0,0.0,580
8,smiling_yeah_right,0.0,0.0,0.0,1080
9,macro avg,0.16346449406514404,0.15555766376576943,0.07921909670862066,7980
10,weighted avg,0.18267361559304265,0.17393483709273183,0.09174385033072216,7980
