,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,860
1,smiling_endearment,0.0,0.0,0.0,960
2,smiling_flirting,0.18,0.006081081081081081,0.011764705882352943,1480
3,smiling_sad_nostalgia,0.12397507379468678,0.9775862068965517,0.22004462986319978,1160
4,smiling_sardonic,0.0,0.0,0.0,760
5,smiling_triumphant,0.4146341463414634,0.01574074074074074,0.030330062444246207,1080
6,smiling_uncertain,0.3592233009708738,0.02890625,0.05350686912509038,1280
7,smiling_winning,0.0,0.0,0.0,700
8,smiling_yeah_right,0.0,0.0,0.0,1280
9,macro avg,0.11975916901189157,0.1142571420798193,0.03507180747943214,9560
10,weighted avg,0.13784746745746188,0.1252092050209205,0.03911179866810624,9560
