,,precision,recall,f1-score,support
0,smiling_encouraging,0.002173913043478261,0.0002358490566037736,0.00042553191489361707,4240
1,smiling_endearment,0.0,0.0,0.0,4800
2,smiling_flirting,0.2857142857142857,0.001092896174863388,0.0021774632553075665,7320
3,smiling_sad_nostalgia,0.16446951004582305,0.8157342657342658,0.27374596655910827,5720
4,smiling_sardonic,0.0009671179883945841,0.00026595744680851064,0.00041718815185648727,3760
5,smiling_triumphant,0.3728813559322034,0.008239700374531835,0.016123122022718945,5340
6,smiling_uncertain,0.19006819374016437,0.17037617554858933,0.1796842714273907,6380
7,smiling_winning,0.0,0.0,0.0,3420
8,smiling_yeah_right,0.003188280913399397,0.005799373040752351,0.004114539894356408,6380
9,macro avg,0.11327362859752764,0.1113049130418239,0.052965342580625775,47360
10,weighted avg,0.1323735361655214,0.12339527027027027,0.06004798839423872,47360
