,,precision,recall,f1-score,support
0,smiling_encouraging,0.3,0.3,0.3,260
1,smiling_endearment,0.1875,0.3,0.23076923076923075,260
2,smiling_flirting,0.2608695652173913,0.3,0.27906976744186046,260
3,smiling_sad_nostalgia,0.6666666666666666,0.1,0.1739130434782609,260
4,smiling_sardonic,0.0,0.0,0.0,260
5,smiling_triumphant,0.0,0.0,0.0,260
6,smiling_uncertain,0.5128205128205128,1.0,0.6779661016949152,260
7,smiling_winning,0.2631578947368421,0.25,0.25641025641025644,260
8,smiling_yeah_right,0.0,0.0,0.0,260
9,macro avg,0.24344607104904586,0.25,0.21312537775494708,2340
10,weighted avg,0.24344607104904586,0.25,0.21312537775494708,2340
