,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,140
1,smiling_endearment,0.0,0.0,0.0,140
2,smiling_flirting,0.11428571428571428,0.2,0.14545454545454545,140
3,smiling_sad_nostalgia,0.0,0.0,0.0,140
4,smiling_sardonic,0.0,0.0,0.0,140
5,smiling_triumphant,0.0,0.0,0.0,140
6,smiling_uncertain,0.0,0.0,0.0,140
7,smiling_winning,0.0784313725490196,0.2,0.11267605633802816,140
8,smiling_yeah_right,0.0,0.0,0.0,140
9,macro avg,0.021413009648303765,0.044444444444444446,0.028681177976952625,1260
10,weighted avg,0.021413009648303765,0.044444444444444446,0.02868117797695262,1260
