,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,260
1,smiling_endearment,0.19444444444444445,0.35,0.25,260
2,smiling_flirting,0.4444444444444444,0.4,0.4210526315789474,260
3,smiling_sad_nostalgia,0.37735849056603776,1.0,0.5479452054794521,260
4,smiling_sardonic,0.0,0.0,0.0,260
5,smiling_triumphant,0.0,0.0,0.0,260
6,smiling_uncertain,0.10526315789473684,0.1,0.10256410256410256,260
7,smiling_winning,0.0,0.0,0.0,260
8,smiling_yeah_right,0.1875,0.3,0.23076923076923075,260
9,macro avg,0.14544561526107375,0.23888888888888887,0.172481241154637,2340
10,weighted avg,0.14544561526107372,0.2388888888888889,0.172481241154637,2340
