,,precision,recall,f1-score,support
0,smiling_encouraging,0.12,0.025,0.04137931034482759,120
1,smiling_endearment,0.0,0.0,0.0,140
2,smiling_flirting,0.0,0.0,0.0,240
3,smiling_sad_nostalgia,0.1301518438177874,1.0,0.23032629558541268,180
4,smiling_sardonic,0.0,0.0,0.0,120
5,smiling_triumphant,0.0,0.0,0.0,160
6,smiling_uncertain,0.6956521739130435,0.08,0.14349775784753366,200
7,smiling_winning,0.0,0.0,0.0,100
8,smiling_yeah_right,0.16666666666666666,0.01,0.018867924528301886,200
9,macro avg,0.12360785382194418,0.12388888888888888,0.04823014314511954,1460
10,weighted avg,0.14403500000215325,0.13767123287671232,0.054039306110904586,1460
