,,precision,recall,f1-score,support
0,smiling_encouraging,0.015384615384615385,0.002830188679245283,0.004780876494023904,1060
1,smiling_endearment,0.0,0.0,0.0,1200
2,smiling_flirting,0.0,0.0,0.0,1840
3,smiling_sad_nostalgia,0.19133145316906636,0.8951388888888889,0.3152745505686682,1440
4,smiling_sardonic,0.0,0.0,0.0,940
5,smiling_triumphant,0.2689956331877729,0.4597014925373134,0.3393939393939394,1340
6,smiling_uncertain,0.09364548494983277,0.0175,0.029489204844655087,1600
7,smiling_winning,0.0,0.0,0.0,860
8,smiling_yeah_right,0.001294777729823047,0.001875,0.0015317845289762573,1600
9,macro avg,0.06340577382456783,0.15300506334504976,0.07671892842558475,11880
10,weighted avg,0.0676922183190415,0.1632154882154882,0.08110139256634988,11880
