,,precision,recall,f1-score,support
0,smiling_encouraging,0.015151515151515152,0.001941747572815534,0.003442340791738382,2060
1,smiling_endearment,0.0,0.0,0.0,2340
2,smiling_flirting,0.6351351351351351,0.013055555555555556,0.025585193249863906,3600
3,smiling_sad_nostalgia,0.18702834998980217,0.9825,0.31423839168427664,2800
4,smiling_sardonic,0.0,0.0,0.0,1820
5,smiling_triumphant,0.1984126984126984,0.009541984732824428,0.018208302986161693,2620
6,smiling_uncertain,0.3465054556178119,0.7484076433121019,0.47369481959282406,3140
7,smiling_winning,0.0,0.0,0.0,1660
8,smiling_yeah_right,0.0,0.0,0.0,3140
9,macro avg,0.15358146158966252,0.19504965901925528,0.09279656092276274,23180
10,weighted avg,0.19194332994612823,0.2233390854184642,0.10846302423605163,23180
