,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,1060
1,smiling_endearment,0.0,0.0,0.0,1200
2,smiling_flirting,1.0,0.0005434782608695652,0.0010863661053775123,1840
3,smiling_sad_nostalgia,0.13847000550357733,0.8736111111111111,0.23904988123515442,1440
4,smiling_sardonic,0.0,0.0,0.0,940
5,smiling_triumphant,0.8082191780821918,0.0880597014925373,0.15881561238223418,1340
6,smiling_uncertain,0.5346534653465347,0.4725,0.5016589250165893,1600
7,smiling_winning,0.0,0.0,0.0,860
8,smiling_yeah_right,0.002849002849002849,0.00125,0.001737619461337967,1600
9,macro avg,0.2760212946423674,0.1595515878738353,0.10026093380007704,11880
10,weighted avg,0.33522007202593845,0.17971380471380471,0.11485506181560558,11880
