,,precision,recall,f1-score,support
0,smiling_encouraging,0.038461538461538464,0.05,0.043478260869565216,140
1,smiling_endearment,0.18181818181818182,0.3,0.22641509433962265,140
2,smiling_flirting,0.0,0.0,0.0,140
3,smiling_sad_nostalgia,0.5277777777777778,0.95,0.6785714285714285,140
4,smiling_sardonic,0.0,0.0,0.0,140
5,smiling_triumphant,0.0,0.0,0.0,140
6,smiling_uncertain,0.05263157894736842,0.05,0.05128205128205128,140
7,smiling_winning,0.125,0.05,0.07142857142857144,140
8,smiling_yeah_right,0.1320754716981132,0.35,0.19178082191780824,140
9,macro avg,0.11752939430033107,0.19444444444444445,0.1403284698232275,1260
10,weighted avg,0.11752939430033107,0.19444444444444445,0.14032846982322747,1260
