,,precision,recall,f1-score,support
0,smiling_encouraging,0.25,0.2,0.22222222222222224,500
1,smiling_endearment,0.0,0.0,0.0,500
2,smiling_flirting,0.0,0.0,0.0,500
3,smiling_sad_nostalgia,0.25,0.6,0.35294117647058826,500
4,smiling_sardonic,0.0,0.0,0.0,500
5,smiling_triumphant,0.2777777777777778,0.25,0.2631578947368421,500
6,smiling_uncertain,0.42857142857142855,0.15,0.2222222222222222,500
7,smiling_winning,0.1568627450980392,0.4,0.22535211267605632,500
8,smiling_yeah_right,0.23076923076923078,0.15,0.18181818181818185,500
9,macro avg,0.17710902024627517,0.19444444444444445,0.16307931223845698,4500
10,weighted avg,0.17710902024627515,0.19444444444444445,0.16307931223845698,4500
