,,precision,recall,f1-score,support
0,smiling_encouraging,0.08,0.00909090909090909,0.016326530612244896,220
1,smiling_endearment,0.0,0.0,0.0,240
2,smiling_flirting,0.0,0.0,0.0,380
3,smiling_sad_nostalgia,0.14223512336719885,0.98,0.24841571609632448,300
4,smiling_sardonic,0.0,0.0,0.0,180
5,smiling_triumphant,0.6363636363636364,0.05,0.09271523178807947,280
6,smiling_uncertain,0.6304347826086957,0.453125,0.5272727272727272,320
7,smiling_winning,0.0,0.0,0.0,180
8,smiling_yeah_right,0.018518518518518517,0.003125,0.005347593582887701,320
9,macro avg,0.16750578453978326,0.1661489898989899,0.09889753326136265,2420
10,weighted avg,0.1843460378316886,0.1884297520661157,0.11343608228845052,2420
