,,precision,recall,f1-score,support
0,smiling_encouraging,0.08888888888888889,0.2,0.12307692307692307,500
1,smiling_endearment,0.25,0.05,0.08333333333333334,500
2,smiling_flirting,0.07142857142857142,0.15,0.09677419354838708,500
3,smiling_sad_nostalgia,0.4358974358974359,0.85,0.5762711864406781,500
4,smiling_sardonic,0.0,0.0,0.0,500
5,smiling_triumphant,0.0,0.0,0.0,500
6,smiling_uncertain,0.12195121951219512,0.25,0.16393442622950818,500
7,smiling_winning,0.0,0.0,0.0,500
8,smiling_yeah_right,0.0,0.0,0.0,500
9,macro avg,0.1075740128585657,0.16666666666666666,0.11593222918098108,4500
10,weighted avg,0.10757401285856572,0.16666666666666666,0.11593222918098106,4500
