,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,260
1,smiling_endearment,0.0,0.0,0.0,260
2,smiling_flirting,0.17857142857142858,0.25,0.20833333333333331,260
3,smiling_sad_nostalgia,0.08208955223880597,0.55,0.14285714285714285,260
4,smiling_sardonic,0.0,0.0,0.0,260
5,smiling_triumphant,0.0,0.0,0.0,260
6,smiling_uncertain,0.4,0.2,0.26666666666666666,260
7,smiling_winning,0.0,0.0,0.0,260
8,smiling_yeah_right,0.0,0.0,0.0,260
9,macro avg,0.07340677564558162,0.1111111111111111,0.06865079365079366,2340
10,weighted avg,0.07340677564558162,0.1111111111111111,0.06865079365079364,2340
