,,precision,recall,f1-score,support
0,smiling_encouraging,0.04009661835748792,0.05845070422535211,0.04756446991404011,1420
1,smiling_endearment,0.0,0.0,0.0,1600
2,smiling_flirting,0.0,0.0,0.0,2440
3,smiling_sad_nostalgia,0.1441040561355468,0.8770833333333333,0.2475378509481111,1920
4,smiling_sardonic,0.0,0.0,0.0,1260
5,smiling_triumphant,0.3208955223880597,0.024157303370786518,0.04493207941483803,1780
6,smiling_uncertain,0.2935323383084577,0.16542056074766356,0.21159593544530786,2140
7,smiling_winning,0.0,0.0,0.0,1140
8,smiling_yeah_right,0.011037527593818985,0.002336448598130841,0.0038565368299267253,2140
9,macro avg,0.08996289586481902,0.12527203891947403,0.06172076361691376,15840
10,weighted avg,0.0982696040864584,0.13693181818181818,0.06842560688925026,15840
