,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,100
1,smiling_endearment,0.0,0.0,0.0,120
2,smiling_flirting,0.3333333333333333,0.005,0.009852216748768473,200
3,smiling_sad_nostalgia,0.13138075313807532,0.98125,0.23173431734317343,160
4,smiling_sardonic,0.0,0.0,0.0,100
5,smiling_triumphant,0.0,0.0,0.0,140
6,smiling_uncertain,0.125,0.005555555555555556,0.010638297872340425,180
7,smiling_winning,0.0,0.0,0.0,80
8,smiling_yeah_right,0.0,0.0,0.0,180
9,macro avg,0.06552378738571207,0.11020061728395061,0.0280249813293647,1260
10,weighted avg,0.08745046600695136,0.1261904761904762,0.03251018074736724,1260
