,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,140
1,smiling_endearment,0.0,0.0,0.0,140
2,smiling_flirting,0.2857142857142857,0.1,0.14814814814814817,140
3,smiling_sad_nostalgia,0.14634146341463414,0.6,0.23529411764705882,140
4,smiling_sardonic,0.0,0.0,0.0,140
5,smiling_triumphant,0.0,0.0,0.0,140
6,smiling_uncertain,0.35294117647058826,0.6,0.4444444444444445,140
7,smiling_winning,0.0,0.0,0.0,140
8,smiling_yeah_right,0.0,0.0,0.0,140
9,macro avg,0.08722188062216757,0.14444444444444443,0.09198741224885015,1260
10,weighted avg,0.08722188062216757,0.14444444444444443,0.09198741224885017,1260
