,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,260
1,smiling_endearment,0.0,0.0,0.0,260
2,smiling_flirting,0.0,0.0,0.0,260
3,smiling_sad_nostalgia,0.10625,0.85,0.18888888888888888,260
4,smiling_sardonic,0.0,0.0,0.0,260
5,smiling_triumphant,0.5,0.1,0.16666666666666669,260
6,smiling_uncertain,1.0,0.05,0.09523809523809523,260
7,smiling_winning,0.0,0.0,0.0,260
8,smiling_yeah_right,0.0,0.0,0.0,260
9,macro avg,0.17847222222222223,0.1111111111111111,0.05008818342151675,2340
10,weighted avg,0.17847222222222223,0.1111111111111111,0.05008818342151676,2340
