,,precision,recall,f1-score,support
0,smiling_encouraging,0.07692307692307693,0.0125,0.021505376344086023,80
1,smiling_endearment,0.0,0.0,0.0,100
2,smiling_flirting,0.0,0.0,0.0,140
3,smiling_sad_nostalgia,0.13683010262257697,1.0,0.2407221664994985,120
4,smiling_sardonic,0.0,0.0,0.0,80
5,smiling_triumphant,0.0,0.0,0.0,100
6,smiling_uncertain,0.5,0.10833333333333334,0.1780821917808219,120
7,smiling_winning,0.0,0.0,0.0,60
8,smiling_yeah_right,0.0,0.0,0.0,120
9,macro avg,0.07930590883840599,0.12453703703703704,0.04892330384715627,920
10,weighted avg,0.0897537592049515,0.14565217391304347,0.05649668815344058,920
