,,precision,recall,f1-score,support
0,smiling_encouraging,0.35714285714285715,0.5,0.41666666666666663,500
1,smiling_endearment,0.25,0.2,0.22222222222222224,500
2,smiling_flirting,0.0,0.0,0.0,500
3,smiling_sad_nostalgia,0.0,0.0,0.0,500
4,smiling_sardonic,0.0,0.0,0.0,500
5,smiling_triumphant,0.14285714285714285,0.05,0.07407407407407408,500
6,smiling_uncertain,0.3090909090909091,0.85,0.45333333333333325,500
7,smiling_winning,0.32,0.4,0.35555555555555557,500
8,smiling_yeah_right,0.1,0.15,0.12,500
9,macro avg,0.16434343434343435,0.23888888888888887,0.18242798353909462,4500
10,weighted avg,0.16434343434343435,0.2388888888888889,0.18242798353909465,4500
