,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,260
1,smiling_endearment,0.0,0.0,0.0,260
2,smiling_flirting,0.19230769230769232,0.25,0.2173913043478261,260
3,smiling_sad_nostalgia,0.140625,0.9,0.24324324324324326,260
4,smiling_sardonic,0.0,0.0,0.0,260
5,smiling_triumphant,0.0,0.0,0.0,260
6,smiling_uncertain,0.2608695652173913,0.3,0.27906976744186046,260
7,smiling_winning,0.0,0.0,0.0,260
8,smiling_yeah_right,0.0,0.0,0.0,260
9,macro avg,0.06597802861389818,0.1611111111111111,0.08218936833699221,2340
10,weighted avg,0.06597802861389818,0.16111111111111112,0.0821893683369922,2340
