,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,240
1,smiling_endearment,0.0,0.0,0.0,280
2,smiling_flirting,0.0,0.0,0.0,420
3,smiling_sad_nostalgia,0.1272581292653553,0.990625,0.22554251156172184,320
4,smiling_sardonic,0.0,0.0,0.0,200
5,smiling_triumphant,0.0,0.0,0.0,300
6,smiling_uncertain,0.7090909090909091,0.21666666666666667,0.3319148936170213,360
7,smiling_winning,0.0,0.0,0.0,180
8,smiling_yeah_right,0.0,0.0,0.0,360
9,macro avg,0.09292767092847382,0.13414351851851852,0.06193971168652701,2660
10,weighted avg,0.11127643933745901,0.14849624060150377,0.0720537463916837,2660
