,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,140
1,smiling_endearment,0.16666666666666666,0.2,0.1818181818181818,140
2,smiling_flirting,0.0,0.0,0.0,140
3,smiling_sad_nostalgia,0.4074074074074074,0.55,0.46808510638297873,140
4,smiling_sardonic,0.07692307692307693,0.05,0.060606060606060615,140
5,smiling_triumphant,0.0,0.0,0.0,140
6,smiling_uncertain,0.0,0.0,0.0,140
7,smiling_winning,0.13043478260869565,0.15,0.13953488372093023,140
8,smiling_yeah_right,0.09090909090909091,0.05,0.06451612903225806,140
9,macro avg,0.09692678050165973,0.1111111111111111,0.1016178179511566,1260
10,weighted avg,0.09692678050165973,0.1111111111111111,0.1016178179511566,1260
