,,precision,recall,f1-score,support
0,smiling_encouraging,0.1092436974789916,0.06842105263157895,0.08414239482200649,380
1,smiling_endearment,0.0,0.0,0.0,440
2,smiling_flirting,0.0,0.0,0.0,660
3,smiling_sad_nostalgia,0.15128922025473748,0.9365384615384615,0.26049745921369344,520
4,smiling_sardonic,0.0,0.0,0.0,340
5,smiling_triumphant,0.8333333333333334,0.03125,0.060240963855421686,480
6,smiling_uncertain,0.3142857142857143,0.09482758620689655,0.1456953642384106,580
7,smiling_winning,0.06666666666666667,0.0033333333333333335,0.00634920634920635,300
8,smiling_yeah_right,0.02329450915141431,0.02413793103448276,0.023708721422523286,580
9,macro avg,0.16645701568565086,0.12872315163830592,0.0645149011001402,4280
10,weighted avg,0.17195783391776046,0.1397196261682243,0.06927747267808154,4280
