,,precision,recall,f1-score,support
0,smiling_encouraging,0.0,0.0,0.0,500
1,smiling_endearment,0.4,0.1,0.16000000000000003,500
2,smiling_flirting,0.0,0.0,0.0,500
3,smiling_sad_nostalgia,0.21839080459770116,0.95,0.35514018691588783,500
4,smiling_sardonic,0.0,0.0,0.0,500
5,smiling_triumphant,0.0,0.0,0.0,500
6,smiling_uncertain,0.27906976744186046,0.6,0.380952380952381,500
7,smiling_winning,0.0,0.0,0.0,500
8,smiling_yeah_right,0.2222222222222222,0.2,0.2105263157894737,500
9,macro avg,0.12440919936242044,0.20555555555555555,0.12295765373974915,4500
10,weighted avg,0.12440919936242043,0.20555555555555555,0.12295765373974918,4500
